classifier_name,dataset_name,accuracy
SPARTAN,ShakeGestureWiimoteZ,0.8625050505050504
SAX,ShapeletSim,0.4991457286432161
SFA,ShapeletSim,0.5001306532663317
SPARTAN,ShapeletSim,0.498819095477387
SAX,ShapesAll,0.9300607450653322
SFA,ShapesAll,0.9723241590214068
SPARTAN,ShapesAll,0.9731023074784542
SAX,SmallKitchenAppliances,0.5802510013351135
SFA,SmallKitchenAppliances,0.573129684023142
SPARTAN,SmallKitchenAppliances,0.5460870493991989
SAX,SmoothSubspace,0.6396744704570791
SFA,SmoothSubspace,0.6212954292084728
SPARTAN,SmoothSubspace,0.6824370122630993
SAX,SonyAIBORobotSurface1,0.5988364240818659
SFA,SonyAIBORobotSurface1,0.6776198639031739
SPARTAN,SonyAIBORobotSurface1,0.7004010181289285
SAX,SonyAIBORobotSurface2,0.5627128890371266
SFA,SonyAIBORobotSurface2,0.6517083237789498
SPARTAN,SonyAIBORobotSurface2,0.6202976798482416
SAX,StarLightCurves,0.7408785611632924
SFA,StarLightCurves,0.7321920016845173
SPARTAN,StarLightCurves,0.7471889663173904
SAX,Strawberry,0.5295750777473671
SFA,Strawberry,0.5155534100067751
SPARTAN,Strawberry,0.5211338166343108
SAX,SwedishLeaf,0.7607354685646499
SFA,SwedishLeaf,0.8920442862791618
SPARTAN,SwedishLeaf,0.9002468960063267
SAX,Symbols,0.8907862379495468
SFA,Symbols,0.8618724624295252
SPARTAN,Symbols,0.8573922915584291
SAX,SyntheticControl,0.8455626043405676
SFA,SyntheticControl,0.8170094602114636
SPARTAN,SyntheticControl,0.821189204229271
SAX,ToeSegmentation1,0.4990105651517693
SFA,ToeSegmentation1,0.5074738666219465
SPARTAN,ToeSegmentation1,0.4996478282743585
SAX,ToeSegmentation2,0.4991237677984665
SFA,ToeSegmentation2,0.5099963490324935
SPARTAN,ToeSegmentation2,0.4986637458926616
SAX,Trace,0.7962562814070353
SFA,Trace,0.7431658291457286
SPARTAN,Trace,0.7220653266331658
SAX,TwoLeadECG,0.49985990473522
SFA,TwoLeadECG,0.5063517265814828
SPARTAN,TwoLeadECG,0.5021147713778703
SAX,TwoPatterns,0.6411008601720345
SFA,TwoPatterns,0.6572285577115424
SPARTAN,TwoPatterns,0.6288962112422485
SAX,UMD,0.6126008690254501
SFA,UMD,0.6128119180633147
SPARTAN,UMD,0.6240223463687151
SAX,UWaveGestureLibraryAll,0.820394137950677
SFA,UWaveGestureLibraryAll,0.8286828525490264
SPARTAN,UWaveGestureLibraryAll,0.8660937751115997
SAX,UWaveGestureLibraryX,0.8313750404903111
SFA,UWaveGestureLibraryX,0.814919349086388
