dataset,a,w,method,tlb,param
Wine,10,8,spartan,0.5788798350966451,woDAA
Wine,10,8,spartan,0.6200350693370433,dp_debug-reg7-delta0.5
Wine,4,9,sax,0.0185185185185185,none
Wine,4,9,sfa,0.2247668134476123,none
Wine,4,9,sfa,0.2447009451119592,var
Wine,4,9,spartan,0.267802094039322,woDAA
Wine,4,9,spartan,0.4969318905759372,dp_debug-reg7-delta0.5
Wine,5,9,sax,0.0185185185185185,none
Wine,5,9,sfa,0.3020665633962986,none
Wine,5,9,sfa,0.3114447056904076,var
Wine,5,9,spartan,0.3230503223407575,woDAA
Wine,5,9,spartan,0.4991415093261551,dp_debug-reg7-delta0.5
Wine,6,9,sax,0.0185185185185185,none
Wine,6,9,sfa,0.336830099149176,none
Wine,6,9,sfa,0.344211070737179,var
Wine,6,9,spartan,0.3947256783823762,woDAA
Wine,6,9,spartan,0.5054208497667886,dp_debug-reg7-delta0.5
Wine,7,9,sax,0.0185185185185185,none
Wine,7,9,sfa,0.3814221201880496,none
Wine,7,9,sfa,0.3922013331875399,var
Wine,7,9,spartan,0.4712792018970102,woDAA
Wine,7,9,spartan,0.5078230908891819,dp_debug-reg7-delta0.5
Wine,8,9,sax,0.0185185185185185,none
Wine,8,9,sfa,0.4057744994693891,none
Wine,8,9,sfa,0.4202792191831606,var
Wine,8,9,spartan,0.5112315056676036,woDAA
Wine,8,9,spartan,0.6200350693370433,dp_debug-reg7-delta0.5
Wine,9,9,sax,0.0185185185185185,none
Wine,9,9,sfa,0.4390269997707823,none
Wine,9,9,sfa,0.4537048149889893,var
Wine,9,9,spartan,0.5336954635186479,woDAA
Wine,9,9,spartan,0.6207562811247126,dp_debug-reg7-delta0.5
Wine,10,9,sax,0.0185185185185185,none
Wine,10,9,sfa,0.4598659063619759,none
Wine,10,9,sfa,0.471344543801772,var
Wine,10,9,spartan,0.5815025566480893,woDAA
Wine,10,9,spartan,0.626113921930029,dp_debug-reg7-delta0.5
Wine,4,10,sax,0.0185185185185185,none
Wine,4,10,sfa,0.2377303010169361,none
Wine,4,10,sfa,0.2550470776777488,var
Wine,4,10,spartan,0.2693651346718393,woDAA
Wine,4,10,spartan,0.4983999475335457,dp_debug-reg7-delta0.5
Wine,5,10,sax,0.0185185185185185,none
Wine,5,10,sfa,0.3152600128324364,none
Wine,5,10,sfa,0.3198324983959805,var
Wine,5,10,spartan,0.3243786062408912,woDAA
Wine,5,10,spartan,0.5042657049936001,dp_debug-reg7-delta0.5
Wine,6,10,sax,0.0185185185185185,none
Wine,6,10,sfa,0.3521903249598832,none
Wine,6,10,sfa,0.3549349121301096,var
Wine,6,10,spartan,0.3960003019524614,woDAA
Wine,6,10,spartan,0.5060332147198306,dp_debug-reg7-delta0.5
Wine,7,10,sax,0.0185185185185185,none
Wine,7,10,sfa,0.3958037233536266,none
Wine,7,10,sfa,0.3997454359113668,var
Wine,7,10,spartan,0.4725045459510242,woDAA
Wine,7,10,spartan,0.5103123420485112,dp_debug-reg7-delta0.5
Wine,8,10,sax,0.0185185185185185,none
Wine,8,10,sfa,0.4229642624743193,none
Wine,8,10,sfa,0.4328454471453423,var
Wine,8,10,spartan,0.5126656860198036,woDAA
Wine,8,10,spartan,0.626113921930029,dp_debug-reg7-delta0.5
Wine,9,10,sax,0.0185185185185185,none
Wine,9,10,sfa,0.4595853350611532,none
Wine,9,10,sfa,0.4674195716659237,var
Wine,9,10,spartan,0.5353444419157479,woDAA
Wine,9,10,spartan,0.6274808553545811,dp_debug-reg7-delta0.5
Wine,10,10,sax,0.0185185185185185,none
Wine,10,10,sfa,0.4796509007941877,none
Wine,10,10,sfa,0.4842022594146575,var
Wine,10,10,spartan,0.5835068008101355,woDAA
Wine,10,10,spartan,0.6286472243608529,dp_debug-reg7-delta0.5
DodgerLoopGame,4,4,sax,0.033323777435008,none
DodgerLoopGame,4,4,sfa,0.1542894282367207,none
DodgerLoopGame,4,4,sfa,0.1542894282367207,var
DodgerLoopGame,4,4,spartan,0.1958387882385395,woDAA
DodgerLoopGame,4,4,spartan,0.2492523812678006,dp_debug-reg7-delta0.5
DodgerLoopGame,5,4,sax,0.0148796682484242,none
DodgerLoopGame,5,4,sfa,0.1978712250262804,none
DodgerLoopGame,5,4,sfa,0.1978712250262804,var
DodgerLoopGame,5,4,spartan,0.2112284403877862,woDAA
DodgerLoopGame,5,4,spartan,0.2548035804321813,dp_debug-reg7-delta0.5
DodgerLoopGame,6,4,sax,0.0983240769673555,none
DodgerLoopGame,6,4,sfa,0.2195928884184241,none
DodgerLoopGame,6,4,sfa,0.2195928884184241,var
